Whitepop,Asianpop,two_or_more_pop,Otherpop,NativePacificIslanderpop,AmericanIndianAlaskanpop,African_American_Blackpop,MedianIncomeHouseholds,MedianIncomeFamilies,MedianIncomeMarried,MedianIncomeNonFamily,NumberSnap,%Unemployed,LALOWI1_10,LALOWI05_10,LALOWI1_20,Cost_Per_Meal,Overall_Food_Insecurity_Rate,eduattain_male_rate,HousingUnits,County_State,Cluster,PCA1,PCA2,OutlierFeature,CountyName
171593,14204,10703,10035,197,375,114381,65317,81056,102351,45286,13444,0.02,553.72,1070.5,553.72,3.99,0.096,88.05158237602153,109348,"Durham County, North Carolina",1,2.918524650838385,-0.5717736430501599,Asianpop,"Durham County, North Carolina"
171404,3455,5024,4361,452,1008,38825,56595,70537,85398,29959,12511,0.02,557.66,994.54,557.66,3.52,0.123,84.57281929578147,79867,"Gaston County, North Carolina",1,-0.019231023823869056,0.1913440188221779,NativePacificIslanderpop,"Gaston County, North Carolina"
252469,8884,9268,8682,116,1953,100923,52017,70148,88444,30873,17219,0.03,665.41,1137.45,665.41,3.81,0.116,85.38741132163607,141163,"Forsyth County, North Carolina",1,1.2156814314859588,1.4209730436561572,AmericanIndianAlaskanpop,"Forsyth County, North Carolina"
171593,14204,10703,10035,197,375,114381,65317,81056,102351,45286,13444,0.02,553.72,1070.5,553.72,3.99,0.096,88.05158237602153,109348,"Durham County, North Carolina",1,2.918524650838385,-0.5717736430501599,African_American_Blackpop,"Durham County, North Carolina"
252469,8884,9268,8682,116,1953,100923,52017,70148,88444,30873,17219,0.03,665.41,1137.45,665.41,3.81,0.116,85.38741132163607,141163,"Forsyth County, North Carolina",1,1.2156814314859588,1.4209730436561572,African_American_Blackpop,"Forsyth County, North Carolina"
190315,8031,5843,6391,208,934,28137,85985,100737,112198,40023,3631,0.02,507.73,874.97,523.34,3.86,0.076,86.62808335861473,67864,"Union County, North Carolina",1,2.6080401903511423,-2.9421091377516184,MedianIncomeHouseholds,"Union County, North Carolina"
114580,12048,2898,1600,9,398,16943,74299,118498,128901,38051,3004,0.02,265.0,956.35,265.0,4.48,0.095,93.9863674384666,51457,"Orange County, North Carolina",1,3.18360812214149,-4.527220392994866,MedianIncomeFamilies,"Orange County, North Carolina"
190315,8031,5843,6391,208,934,28137,85985,100737,112198,40023,3631,0.02,507.73,874.97,523.34,3.86,0.076,86.62808335861473,67864,"Union County, North Carolina",1,2.6080401903511423,-2.9421091377516184,MedianIncomeFamilies,"Union County, North Carolina"
114580,12048,2898,1600,9,398,16943,74299,118498,128901,38051,3004,0.02,265.0,956.35,265.0,4.48,0.095,93.9863674384666,51457,"Orange County, North Carolina",1,3.18360812214149,-4.527220392994866,MedianIncomeMarried,"Orange County, North Carolina"
171593,14204,10703,10035,197,375,114381,65317,81056,102351,45286,13444,0.02,553.72,1070.5,553.72,3.99,0.096,88.05158237602153,109348,"Durham County, North Carolina",1,2.918524650838385,-0.5717736430501599,MedianIncomeNonFamily,"Durham County, North Carolina"
252469,8884,9268,8682,116,1953,100923,52017,70148,88444,30873,17219,0.03,665.41,1137.45,665.41,3.81,0.116,85.38741132163607,141163,"Forsyth County, North Carolina",1,1.2156814314859588,1.4209730436561572,NumberSnap,"Forsyth County, North Carolina"
148373,9020,7603,10784,0,162,40511,72333,85805,105767,36855,5254,0.03,566.15,1173.82,566.15,3.79,0.089,89.31139470104294,65666,"Cabarrus County, North Carolina",1,1.7470652049953246,-1.4421717611301663,%Unemployed,"Cabarrus County, North Carolina"
62595,593,2020,533,0,301,3431,60186,76840,86239,31771,2653,0.01,196.88,333.88,187.67,4.03,0.117,88.44501092498179,28870,"Carteret County, North Carolina",1,0.31825438281737534,-3.6926610760375094,%Unemployed,"Carteret County, North Carolina"
